15012016                              Saída dinâmica de lista                                      1
------------------------------------------------------------------------------------------------------
15012016                          Fiscal - Cálculo Parcela Dedutível                             1
------------------------------------------------------------------------------------------------------
Fiscal - Cálculo Parcela Dedutível
------------------------------------------------------------------------------------------------------
| Material|Quantidade básica|UMB|Componente|TMat|Qtd|           Qtd|UM |O|   por| Prçstandard|Moeda|
| Y4044996|       1000.000 |UN |Y3957150  |HALB|   |         6.665 |M  |1|    1 |        2.20 |     |
| Y3822632|       2100.000 |M  |Y2278804  |ZRAW|   |       441.000 |M  |2|    1 |        3.00 |     |
| Y4045024|       1000.000 |UN |Y2278650  |HALB|X  |        45.000 |M  |0|1000 |      142.21 |     |
| Y4045024|       1000.000 |UN |Y2278650  |HALB|   |       133.350 |M  |0|1000 |      142.21 |     |
| Y3895541|         500.000 |M  |Y2277894  |ZRAW|   |        93.503 |M  |1|    1 |        6.39 |     |
| Y4151523|         250.000 |M  |Y4000533  |ZRAW|   |        18.750 |M  |0|    1 |       18.85 |     |
| Y4151526|          91.000 |M  |Y4087549  |ZRAW|   |        17.231 |M  |0|1000 |    3952.43 |     |
| Y4151527|       1000.000 |UN |Y2278330  |HALB|X  |        45.000 |M  |0|1000 |      899.03 |     |
| Y4151527|       1000.000 |UN |Y2278330  |HALB|   |        11.545 |M  |0|1000 |      899.03 |     |
| Y4135566|       1000.000 |UN |Y2278410  |HALB|X  |        65.000 |M  |0|1000 |      353.19 |     |
| Y4135566|       1000.000 |UN |Y2278410  |HALB|   |        14.288 |M  |0|1000 |      353.19 |     |
| Y4135594|       1000.000 |UN |Y3955109  |HALB|X  |        50.000 |M  |0|    1 |        2.60 |     |
| Y4135594|       1000.000 |UN |Y3955109  |HALB|   |        38.100 |M  |0|    1 |        2.60 |     |
| Y4135594|       1000.000 |UN |Y3955381  |HALB|X  |        50.000 |M  |0|1000 |      560.54 |     |
| Y4135594|       1000.000 |UN |Y3955381  |HALB|   |        38.100 |M  |0|1000 |      560.54 |     |
| Y4135614|       1000.000 |UN |Y3955551  |HALB|X  |        20.000 |M  |0|    1 |        3.23 |     |
| Y4135614|       1000.000 |UN |Y3955551  |HALB|   |        72.500 |M  |0|    1 |        3.23 |     |
| Y4135614|       1000.000 |UN |Y3955274  |HALB|X  |        20.000 |M  |2|    1 |        0.95 |     |
| Y4135614|       1000.000 |UN |Y3955274  |HALB|   |        72.500 |M  |2|    1 |        0.95 |     |
| Y4158216|         500.000 |M  |Y2279133  |ZRAW|   |        62.500 |M  |0|    1 |        6.60 |     |
| Y4105479|       1000.000 |UN |Y3694369  |HALB|X  |        65.000 |M  |0|1000 |      457.64 |     |
| Y4105479|       1000.000 |UN |Y3694369  |HALB|   |        53.340 |M  |0|1000 |      457.64 |     |
| Y4105479|       1000.000 |UN |Y2278350  |HALB|X  |        65.000 |M  |0|    1 |        0.87 |     |
| Y4105479|       1000.000 |UN |Y2278350  |HALB|   |        53.340 |M  |0|    1 |        0.87 |     |
| Y4177038|       1000.000 |UN |Y2278664  |HALB|X  |        70.000 |M  |0|1000 |      208.34 |     |
| Y4177038|       1000.000 |UN |Y2278664  |HALB|   |         3.259 |M  |0|1000 |      208.34 |     |
| Y3822770|       1000.000 |UN |Y3822633  |HALB|X  |        45.000 |M  |0|1000 |      102.11 |     |
| Y3822770|       1000.000 |UN |Y3822633  |HALB|   |        58.700 |M  |0|1000 |      102.11 |     |
| Y4172070|       1000.000 |UN |Y2277829  |HALB|X  |        45.000 |M  |0|    1 |        1.86 |     |
| Y4172070|       1000.000 |UN |Y2277829  |HALB|   |        94.000 |M  |0|    1 |        1.86 |     |
| Y4175862|         250.000 |M  |Y4000859  |ZRAW|   |        36.250 |M  |0|    1 |       11.38 |     |
| Y3141776|       1000.000 |UN |Y2278511  |HALB|X  |        30.000 |M  |0|1000 |      625.04 |     |
| Y3141776|       1000.000 |UN |Y2278511  |HALB|   |        67.667 |M  |0|1000 |      625.04 |     |
| Y3141776|       1000.000 |UN |Y2278509  |HALB|X  |        30.000 |M  |0|1000 |      644.61 |     |
| Y3141776|       1000.000 |UN |Y2278509  |HALB|   |        67.667 |M  |0|1000 |      644.61 |     |
| Y3606882|       1000.000 |UN |Y3757047  |HALB|X  |        28.000 |M  |0|    1 |        0.99 |     |
| Y3606882|       1000.000 |UN |Y3757047  |HALB|   |        49.333 |M  |0|    1 |        0.99 |     |
| Y3511054|       1000.000 |UN |Y2278365  |HALB|X  |        60.000 |M  |0|1000 |      610.06 |     |
| Y3511054|       1000.000 |UN |Y2278365  |HALB|   |        91.810 |M  |0|1000 |      610.06 |     |
| Y3511572|       1000.000 |UN |Y2278876  |HALB|X  |        28.000 |M  |0|1000 |    1488.62 |     |
| Y3511572|       1000.000 |UN |Y2278876  |HALB|   |        33.400 |M  |0|1000 |    1488.62 |     |
| Y3511661|       1000.000 |UN |Y2303729  |HALB|X  |        55.000 |M  |0|1000 |      247.25 |     |
| Y3511661|       1000.000 |UN |Y2303729  |HALB|   |        48.000 |M  |0|1000 |      247.25 |     |
| Y3914240|       1000.000 |UN |Y2278410  |HALB|X  |        45.000 |M  |0|1000 |      353.19 |     |
| Y3914240|       1000.000 |UN |Y2278410  |HALB|   |        42.545 |M  |0|1000 |      353.19 |     |
| Y3915736|       1000.000 |UN |Y2278238  |HALB|X  |        40.000 |M  |0|    1 |        2.05 |     |
| Y3915736|       1000.000 |UN |Y2278238  |HALB|   |         2.833 |M  |0|    1 |        2.05 |     |
| Y2292323|       1000.000 |UN |Y2278758  |HALB|X  |        28.000 |M  |0|1000 |      337.87 |     |
| Y2292323|       1000.000 |UN |Y2278758  |HALB|   |        47.000 |M  |0|1000 |      337.87 |     |
| Y2292323|       1000.000 |UN |Y2278531  |HALB|X  |        28.000 |M  |0|1000 |      741.52 |     |
| Y2292323|       1000.000 |UN |Y2278531  |HALB|   |        47.000 |M  |0|1000 |      741.52 |     |
| Y2304129|       1000.000 |UN |Y3703593  |ZRAW|   |         8.833 |M  |0|  100 |       22.75 |     |
| Y2304129|       1000.000 |UN |Y3703593  |ZRAW|X  |        28.000 |M  |0|  100 |       22.75 |     |
| Y2304129|       1000.000 |UN |Y2277982  |HALB|   |         8.833 |M  |0|1000 |      430.00 |     |
